move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
1,0,2,
move,nbTurn,PlayerID
5,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
5,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
6,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
1,0,2,
move,nbTurn,PlayerID
1,0,2,
move,nbTurn,PlayerID
1,0,2,
move,nbTurn,PlayerID
5,0,2,
move,nbTurn,PlayerID
5,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
6,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
4,0,2,
move,nbTurn,PlayerID
3,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
6,0,2,
move,nbTurn,PlayerID
2,0,2,
move,nbTurn,PlayerID
0,0,2,
move,nbTurn,PlayerID
0,0,2,
move,nbTurn,PlayerID
0,0,2,
move,nbTurn,PlayerID
6,0,2,
move,nbTurn,PlayerID
5,0,2,
